Option,416_default_config,config_v8_bare_2
CONFIG_TOUCHSCREEN_ROHM_BU21023,m,
CONFIG_TOUCHSCREEN_USB_ITM,y,
CONFIG_BACKLIGHT_SAHARA,m,
CONFIG_NET_VENDOR_HISILICON,,y
CONFIG_FS_DAX_PMD,y,
CONFIG_TINYDRM_MI0283QT,m,
CONFIG_RDS_RDMA,m,
CONFIG_INFINIBAND_ISER,m,
CONFIG_IIO_CROS_EC_SENSORS_CORE,m,
CONFIG_DEBUG_INFO_DWARF4,y,
CONFIG_HW_RANDOM_CAVIUM,,y
CONFIG_CPU_SUP_AMD,y,
CONFIG_USB_ISP1362_HCD,m,y
CONFIG_ACPI_HOTPLUG_MEMORY,y,
CONFIG_DRM_AMD_DC_DCN1_0,y,
CONFIG_LCD_LMS283GF05,m,
CONFIG_HID_SENSOR_HUMIDITY,m,
CONFIG_FB_ATY128_BACKLIGHT,y,
CONFIG_COMPAL_LAPTOP,m,
CONFIG_THUNDERBOLT_NET,m,
CONFIG_INFINIBAND_CXGB3,m,
CONFIG_COMMON_CLK_XGENE,,y
CONFIG_CALGARY_IOMMU,y,
CONFIG_FB_ATY_CT,y,
CONFIG_TINYDRM_REPAPER,m,
CONFIG_FB_SM712,m,
CONFIG_INFINIBAND_NES,m,
CONFIG_DRM_AMDGPU,m,
CONFIG_INFINIBAND_QIB_DCA,y,
CONFIG_FB_METRONOME,m,
CONFIG_JOYSTICK_COBRA,m,
CONFIG_FB_RADEON,m,
CONFIG_GPIO_PCH,,m
CONFIG_TOUCHSCREEN_DA9052,m,
CONFIG_CHARLCD,m,
CONFIG_TOUCHSCREEN_WM831X,m,
CONFIG_TOUCHSCREEN_EDT_FT5X06,m,
CONFIG_TOUCHSCREEN_UCB1400,m,
CONFIG_FB_RIVA_I2C,y,
CONFIG_TOUCHSCREEN_SIS_I2C,m,
CONFIG_MS_BLOCK,m,
CONFIG_IRDA_ULTRA,y,
CONFIG_FB_MATROX,m,
CONFIG_I2C_HID,m,y
CONFIG_MSPRO_BLOCK,m,
CONFIG_IRCOMM,m,
CONFIG_KS0108_PORT,0x378,
CONFIG_FB_MB862XX_I2C,y,
CONFIG_DEVICE_PRIVATE,y,
CONFIG_INFINIBAND_QEDR,m,
CONFIG_TOUCHSCREEN_USB_EGALAX,y,
CONFIG_TOUCHSCREEN_USB_IRTOUCH,y,
CONFIG_ACPI_CMPC,m,
CONFIG_USB_DWC3_KEYSTONE,,m
CONFIG_FUJITSU_LAPTOP,m,
CONFIG_TOUCHSCREEN_MTOUCH,m,
CONFIG_DELL_SMBIOS_WMI,y,
CONFIG_CALGARY_IOMMU_ENABLED_BY_DEFAULT,y,
